Date,Initial Claims N.S.A,Initial Claims S.F.,Initial Claims S.A.,Initial Claims S.A. 4-Week,Continued Claims N.S.A,Continued Claims S.F.,Continued Claims S.A.,Continued Claims S.A. 4-Week,I.U.R N.S.A,I.U.R S.A.,Covered Employment
7/3/1976,"401,000",101.8,"394,000","396,750","2,600,000",87.9,"2,958,000","2,986,500",4,4.5,"65,410,676"
7/10/1976,"445,000",119.6,"372,000","388,000","2,878,000",96.1,"2,995,000","2,997,750",4.4,4.6,"65,410,676"
7/17/1976,"455,000",112.1,"406,000","389,750","2,895,000",96.2,"3,011,000","2,999,750",4.4,4.6,"65,410,676"
7/24/1976,"418,000",106.2,"394,000","391,500","2,848,000",94.4,"3,019,000","2,995,750",4.4,4.6,"65,410,676"
7/31/1976,"401,000",103.4,"388,000","390,000","2,797,000",93.4,"2,996,000","3,005,250",4.3,4.6,"65,410,676"
8/7/1976,"373,000",98.8,"378,000","391,500","2,769,000",92.1,"3,007,000","3,008,250",4.2,4.6,"65,410,676"
8/14/1976,"329,000",86.3,"382,000","385,500","2,701,000",90.3,"2,990,000","3,003,000",4.1,4.6,"65,410,676"
8/21/1976,"320,000",80.1,"400,000","387,000","2,621,000",87.9,"2,983,000","2,994,000",4,4.6,"65,410,676"
8/28/1976,"301,000",76.4,"394,000","388,500","2,587,000",84,"3,081,000","3,015,250",4,4.7,"65,410,676"
9/4/1976,"321,000",76.4,"421,000","399,250","2,412,000",80.7,"2,988,000","3,010,500",3.7,4.6,"65,410,676"
9/11/1976,"280,000",73.3,"383,000","399,500","2,538,000",82.1,"3,092,000","3,036,000",3.9,4.7,"65,410,676"
9/18/1976,"320,000",79.6,"403,000","400,250","2,443,000",78.9,"3,097,000","3,064,500",3.7,4.7,"65,410,676"
9/25/1976,"327,000",77.5,"423,000","407,500","2,443,000",78.7,"3,103,000","3,070,000",3.7,4.7,"65,410,676"
10/2/1976,"332,000",81.5,"408,000","404,250","2,412,000",77.7,"3,104,000","3,099,000",3.7,4.7,"65,870,073"
10/9/1976,"388,000",94.6,"411,000","411,250","2,388,000",76.6,"3,119,000","3,105,750",3.6,4.7,"65,870,073"
10/16/1976,"325,000",80.8,"403,000","411,250","2,491,000",81,"3,074,000","3,100,000",3.8,4.7,"65,870,073"
10/23/1976,"361,000",88.2,"409,000","407,750","2,480,000",80.3,"3,088,000","3,096,250",3.8,4.7,"65,870,073"
10/30/1976,"370,000",89.6,"414,000","409,250","2,515,000",81.7,"3,080,000","3,090,250",3.8,4.7,"65,870,073"
11/6/1976,"387,000",99.3,"390,000","404,000","2,513,000",81.6,"3,079,000","3,080,250",3.8,4.7,"65,870,073"
11/13/1976,"363,000",94.8,"383,000","399,000","2,690,000",87.8,"3,064,000","3,077,750",4.1,4.7,"65,870,073"
11/20/1976,"430,000",105.5,"408,000","398,750","2,574,000",84.1,"3,061,000","3,071,000",3.9,4.6,"65,870,073"
11/27/1976,"369,000",97.9,"377,000","389,500","2,901,000",96.1,"3,019,000","3,055,750",4.4,4.6,"65,870,073"
12/4/1976,"500,000",124.4,"402,000","392,500","2,936,000",98.1,"2,994,000","3,034,500",4.5,4.5,"65,870,073"
12/11/1976,"494,000",125.1,"395,000","395,500","3,005,000",100.9,"2,978,000","3,013,000",4.6,4.5,"65,870,073"
12/18/1976,"434,000",119.3,"365,000","384,750","2,915,000",100.5,"2,900,000","2,972,750",4.4,4.4,"65,870,073"
12/25/1976,"466,000",139.8,"333,000","373,750","3,047,000",108,"2,822,000","2,923,500",4.6,4.3,"65,870,073"
1/1/1977,"558,000",146.8,"380,000","368,250","3,529,000",125.2,"2,818,000","2,879,500",5.3,4.2,"66,637,555"
1/8/1977,"685,000",164.6,"416,000","373,500","3,542,000",128.1,"2,764,000","2,826,000",5.3,4.1,"66,637,555"
1/15/1977,"597,000",162.5,"368,000","374,250","3,582,000",126.1,"2,841,000","2,811,250",5.4,4.3,"66,637,555"
1/22/1977,"589,000",139.2,"423,000","396,750","3,679,000",129.8,"2,834,000","2,814,250",5.5,4.3,"66,637,555"
1/29/1977,"518,000",122.8,"422,000","407,250","3,721,000",129.3,"2,879,000","2,829,500",5.6,4.3,"66,637,555"
2/5/1977,"704,000",124.7,"565,000","444,500","3,781,000",127.9,"2,956,000","2,877,500",5.7,4.4,"66,637,555"
2/12/1977,"552,000",115.9,"477,000","471,750","3,744,000",128.9,"2,904,000","2,893,250",5.6,4.4,"66,637,555"
2/19/1977,"422,000",105.9,"399,000","465,750","3,576,000",129,"2,772,000","2,877,750",5.4,4.2,"66,637,555"
2/26/1977,"360,000",99.5,"362,000","450,750","3,564,000",128.9,"2,764,000","2,849,000",5.3,4.1,"66,637,555"
3/5/1977,"367,000",102,"361,000","399,750","3,395,000",125,"2,717,000","2,789,250",5.1,4.1,"66,637,555"
3/12/1977,"335,000",94.6,"355,000","369,250","3,314,000",121.5,"2,728,000","2,745,250",5,4.1,"66,637,555"
3/19/1977,"321,000",87.2,"369,000","361,750","3,173,000",117.7,"2,695,000","2,726,000",4.8,4,"66,637,555"
3/26/1977,"298,000",83.9,"356,000","360,250","3,050,000",114.2,"2,671,000","2,702,750",4.6,4,"66,637,555"
4/2/1977,"296,000",84.5,"350,000","357,500","2,930,000",110.3,"2,655,000","2,687,250",4.4,3.9,"67,260,397"
4/9/1977,"367,000",97.6,"376,000","362,750","2,907,000",107,"2,717,000","2,684,500",4.3,4,"67,260,397"
4/16/1977,"316,000",87.8,"361,000","360,750","2,790,000",104.1,"2,680,000","2,680,750",4.1,4,"67,260,397"
4/23/1977,"314,000",83.7,"375,000","365,500","2,693,000",101.2,"2,660,000","2,678,000",4,4,"67,260,397"
4/30/1977,"305,000",81.5,"375,000","371,750","2,584,000",97.7,"2,644,000","2,675,250",3.8,3.9,"67,260,397"
5/7/1977,"333,000",86.8,"384,000","373,750","2,505,000",95.7,"2,618,000","2,650,500",3.7,3.9,"67,260,397"
5/14/1977,"309,000",81.2,"381,000","378,750","2,463,000",93.5,"2,635,000","2,639,250",3.7,3.9,"67,260,397"
5/21/1977,"293,000",78.3,"375,000","378,750","2,408,000",91,"2,647,000","2,636,000",3.6,3.9,"67,260,397"
5/28/1977,"298,000",78.4,"381,000","380,250","2,291,000",87.3,"2,625,000","2,631,250",3.4,3.9,"67,260,397"
6/4/1977,"283,000",78.1,"363,000","375,000","2,389,000",90.2,"2,650,000","2,639,250",3.6,3.9,"67,260,397"
6/11/1977,"308,000",86.3,"358,000","369,250","2,302,000",88.9,"2,589,000","2,627,750",3.4,3.8,"67,260,397"
6/18/1977,"310,000",86.4,"359,000","365,250","2,307,000",88,"2,622,000","2,621,500",3.4,3.9,"67,260,397"
6/25/1977,"321,000",88.1,"365,000","361,250","2,265,000",86.6,"2,616,000","2,619,250",3.4,3.9,"67,260,397"
7/2/1977,"348,000",99.5,"350,000","358,000","2,215,000",86.1,"2,572,000","2,599,750",3.3,3.8,"67,889,887"
7/9/1977,"431,000",119.4,"361,000","358,750","2,467,000",96.3,"2,563,000","2,593,250",3.6,3.8,"67,889,887"
7/16/1977,"424,000",115.8,"366,000","360,500","2,519,000",97.2,"2,591,000","2,585,500",3.7,3.8,"67,889,887"
7/23/1977,"391,000",107.2,"365,000","360,500","2,468,000",95.5,"2,584,000","2,577,500",3.6,3.8,"67,889,887"
7/30/1977,"380,000",104.2,"365,000","364,250","2,455,000",94.2,"2,605,000","2,585,750",3.6,3.8,"67,889,887"
8/6/1977,"379,000",100.3,"378,000","368,500","2,439,000",93.6,"2,605,000","2,596,250",3.6,3.8,"67,889,887"
8/13/1977,"319,000",89.1,"359,000","366,750","2,406,000",91.9,"2,618,000","2,603,000",3.5,3.9,"67,889,887"
8/20/1977,"298,000",81.3,"367,000","367,250","2,336,000",89.4,"2,612,000","2,610,000",3.4,3.8,"67,889,887"
8/27/1977,"282,000",77.4,"365,000","367,250","2,241,000",86,"2,607,000","2,610,500",3.3,3.8,"67,889,887"
9/3/1977,"289,000",77.4,"374,000","366,250","2,096,000",81.5,"2,571,000","2,602,000",3.1,3.8,"67,889,887"
9/10/1977,"260,000",72.4,"359,000","366,250","2,181,000",83.8,"2,601,000","2,597,750",3.2,3.8,"67,889,887"
9/17/1977,"289,000",80,"362,000","365,000","2,089,000",80.2,"2,605,000","2,596,000",3.1,3.8,"67,889,887"
9/24/1977,"293,000",77.3,"380,000","368,750","2,058,000",79.7,"2,581,000","2,589,500",3,3.8,"67,889,887"
10/1/1977,"275,000",79.3,"348,000","362,250","2,023,000",78.3,"2,583,000","2,592,500",3,3.8,"68,455,662"
10/8/1977,"345,000",94.6,"365,000","363,750","1,984,000",77,"2,575,000","2,586,000",2.9,3.8,"68,455,662"
10/15/1977,"287,000",80.2,"358,000","362,750","2,096,000",81.4,"2,575,000","2,578,500",3.1,3.8,"68,455,662"
10/22/1977,"322,000",85.9,"375,000","361,500","2,076,000",81.1,"2,561,000","2,573,500",3,3.7,"68,455,662"
10/29/1977,"309,000",88.6,"349,000","361,750","2,126,000",82.2,"2,587,000","2,574,500",3.1,3.8,"68,455,662"
11/5/1977,"352,000",96.3,"366,000","362,000","2,080,000",82,"2,535,000","2,564,500",3,3.7,"68,455,662"
11/12/1977,"310,000",93,"334,000","356,000","2,261,000",87.2,"2,592,000","2,568,750",3.3,3.8,"68,455,662"
11/19/1977,"367,000",102.3,"360,000","352,250","2,131,000",84.3,"2,527,000","2,560,250",3.1,3.7,"68,455,662"
11/26/1977,"342,000",96.7,"354,000","353,500","2,483,000",94.8,"2,620,000","2,568,500",3.6,3.8,"68,455,662"
12/3/1977,"430,000",117.4,"367,000","353,750","2,446,000",97.6,"2,505,000","2,561,000",3.6,3.7,"68,455,662"
12/10/1977,"448,000",123.2,"364,000","361,250","2,540,000",100.4,"2,529,000","2,545,250",3.7,3.7,"68,455,662"
12/17/1977,"412,000",114.8,"359,000","361,000","2,571,000",100.5,"2,558,000","2,553,000",3.8,3.7,"68,455,662"
12/24/1977,"450,000",131,"344,000","358,500","2,594,000",104.5,"2,482,000","2,518,500",3.8,3.6,"68,455,662"
12/31/1977,"535,000",147.1,"364,000","357,750","2,949,000",119.8,"2,461,000","2,507,500",4.3,3.6,"68,455,662"
1/7/1978,"559,000",161.8,"346,000","353,250","3,167,000",129,"2,456,000","2,489,250",4.6,3.5,"69,272,000"
1/14/1978,"579,000",168.9,"343,000","349,250","3,053,000",126.2,"2,418,000","2,454,250",4.4,3.5,"69,272,000"
1/21/1978,"500,000",142.1,"352,000","351,250","3,243,000",128.6,"2,522,000","2,464,250",4.7,3.6,"69,272,000"
1/28/1978,"445,000",122.8,"363,000","351,000","3,321,000",128.8,"2,578,000","2,493,500",4.8,3.7,"69,272,000"
2/4/1978,"447,000",124.1,"360,000","354,500","3,143,000",127.4,"2,468,000","2,496,500",4.5,3.6,"69,272,000"
2/11/1978,"438,000",117.4,"373,000","362,000","3,391,000",127.7,"2,656,000","2,556,000",4.9,3.8,"69,272,000"
2/18/1978,"455,000",106,"429,000","381,250","3,261,000",128.2,"2,545,000","2,561,750",4.7,3.7,"69,272,000"
2/25/1978,"372,000",100.5,"371,000","383,250","3,294,000",129,"2,553,000","2,555,500",4.8,3.7,"69,272,000"
3/4/1978,"360,000",101.8,"355,000","382,000","3,150,000",124.5,"2,529,000","2,570,750",4.5,3.7,"69,272,000"
3/11/1978,"342,000",95.5,"359,000","378,500","3,063,000",121.3,"2,526,000","2,538,250",4.4,3.6,"69,272,000"
3/18/1978,"302,000",87.2,"347,000","358,000","2,897,000",117.3,"2,471,000","2,519,750",4.2,3.6,"69,272,000"
3/25/1978,"280,000",83.6,"335,000","349,000","2,812,000",113.7,"2,473,000","2,499,750",4.1,3.6,"69,272,000"
4/1/1978,"278,000",83.7,"333,000","343,500","2,683,000",109.4,"2,453,000","2,480,750",3.8,3.5,"69,995,833"
4/8/1978,"338,000",97.9,"345,000","340,000","2,548,000",106.3,"2,397,000","2,448,500",3.6,3.4,"69,995,833"
4/15/1978,"279,000",90.6,"309,000","330,500","2,420,000",103.5,"2,339,000","2,415,500",3.5,3.3,"69,995,833"
4/22/1978,"277,000",86.9,"319,000","326,500","2,324,000",101.6,"2,287,000","2,369,000",3.3,3.3,"69,995,833"
4/29/1978,"269,000",83.3,"324,000","324,250","2,224,000",97.9,"2,272,000","2,323,750",3.2,3.2,"69,995,833"
5/6/1978,"291,000",87.3,"334,000","321,500","2,151,000",95.8,"2,246,000","2,286,000",3.1,3.2,"69,995,833"
5/13/1978,"268,000",83.4,"322,000","324,750","2,092,000",93.8,"2,231,000","2,259,000",3,3.2,"69,995,833"
5/20/1978,"266,000",80,"334,000","328,500","2,052,000",91.7,"2,238,000","2,246,750",2.9,3.2,"69,995,833"
5/27/1978,"256,000",80.5,"318,000","327,000","1,934,000",87.5,"2,211,000","2,231,500",2.8,3.2,"69,995,833"
6/3/1978,"242,000",78.4,"310,000","321,000","2,012,000",90.5,"2,224,000","2,226,000",2.9,3.2,"69,995,833"
6/10/1978,"292,000",88.2,"331,000","323,250","1,961,000",89.6,"2,189,000","2,215,500",2.8,3.1,"69,995,833"
6/17/1978,"287,000",88.2,"326,000","321,250","1,974,000",88.7,"2,225,000","2,212,250",2.8,3.2,"69,995,833"
6/24/1978,"297,000",90.2,"330,000","324,250","1,973,000",87.7,"2,249,000","2,221,750",2.8,3.2,"69,995,833"
7/1/1978,"347,000",99.9,"348,000","333,750","1,918,000",85.6,"2,242,000","2,226,250",2.7,3.2,"70,867,917"
7/8/1978,"428,000",120.3,"356,000","340,000","2,255,000",96.7,"2,331,000","2,261,750",3.2,3.3,"70,867,917"
7/15/1978,"421,000",119.7,"352,000","346,500","2,295,000",98.6,"2,328,000","2,287,500",3.2,3.3,"70,867,917"
7/22/1978,"387,000",111,"349,000","351,250","2,255,000",97.2,"2,321,000","2,305,500",3.2,3.3,"70,867,917"
7/29/1978,"371,000",107.1,"346,000","350,750","2,248,000",95.9,"2,344,000","2,331,000",3.2,3.3,"70,867,917"
8/5/1978,"376,000",103.1,"365,000","353,000","2,293,000",95.8,"2,395,000","2,347,000",3.2,3.4,"70,867,917"
8/12/1978,"326,000",92.3,"354,000","353,500","2,288,000",94.5,"2,422,000","2,370,500",3.2,3.4,"70,867,917"
8/19/1978,"287,000",83.7,"343,000","352,000","2,204,000",91.6,"2,405,000","2,391,500",3.1,3.4,"70,867,917"
8/26/1978,"264,000",79.4,"333,000","348,750","2,098,000",88.5,"2,370,000","2,398,000",3,3.3,"70,867,917"
9/2/1978,"249,000",79.7,"313,000","335,750","1,936,000",82.9,"2,336,000","2,383,250",2.7,3.3,"70,867,917"
9/9/1978,"246,000",73.2,"337,000","331,500","1,962,000",86.1,"2,278,000","2,347,250",2.8,3.2,"70,867,917"
9/16/1978,"262,000",81.6,"322,000","326,250","1,864,000",82.1,"2,271,000","2,313,750",2.6,3.2,"70,867,917"
9/23/1978,"254,000",78.7,"323,000","323,750","1,831,000",81.5,"2,247,000","2,283,000",2.6,3.2,"70,867,917"
9/30/1978,"249,000",78.5,"318,000","325,000","1,767,000",79.7,"2,217,000","2,253,250",2.5,3.1,"70,867,917"
10/7/1978,"323,000",94.4,"343,000","326,500","1,739,000",78.4,"2,219,000","2,238,500",2.4,3,"73,811,607"
10/14/1978,"262,000",82.8,"316,000","325,000","1,862,000",81.9,"2,274,000","2,239,250",2.5,3.1,"73,811,607"
10/21/1978,"287,000",85,"338,000","328,750","1,819,000",82.4,"2,207,000","2,229,250",2.5,3,"73,811,607"
10/28/1978,"280,000",88.9,"316,000","328,250","1,847,000",83.1,"2,222,000","2,230,500",2.5,3,"73,811,607"
11/4/1978,"302,000",95.6,"317,000","321,750","1,812,000",82.8,"2,188,000","2,222,750",2.5,3,"73,811,607"
11/11/1978,"286,000",94.2,"304,000","318,750","1,918,000",87.2,"2,200,000","2,204,250",2.6,3,"73,811,607"
11/18/1978,"345,000",100.9,"342,000","319,750","1,854,000",85.9,"2,158,000","2,192,000",2.5,2.9,"73,811,607"
11/25/1978,"350,000",97.7,"359,000","330,500","2,204,000",93.8,"2,349,000","2,223,750",3,3.2,"73,811,607"
12/2/1978,"427,000",113.6,"377,000","345,500","2,220,000",98.7,"2,248,000","2,238,750",3,3,"73,811,607"
12/9/1978,"427,000",124.4,"344,000","355,500","2,312,000",100.9,"2,292,000","2,261,750",3.1,3.1,"73,811,607"
12/16/1978,"390,000",112.6,"347,000","356,750","2,360,000",101.4,"2,328,000","2,304,250",3.2,3.2,"73,811,607"
12/23/1978,"447,000",127.2,"352,000","355,000","2,332,000",102.5,"2,276,000","2,286,000",3.2,3.1,"73,811,607"
12/30/1978,"515,000",143.9,"358,000","350,250","2,719,000",118.8,"2,289,000","2,296,250",3.7,3.1,"73,811,607"
1/6/1979,"559,000",155.8,"359,000","354,000","3,041,000",128.5,"2,366,000","2,314,750",4,3.1,"76,974,775"
1/13/1979,"680,000",173.8,"392,000","365,250","2,980,000",125.8,"2,368,000","2,324,750",3.9,3.1,"76,974,775"
1/20/1979,"488,000",145,"337,000","361,500","3,064,000",127.5,"2,403,000","2,356,500",4,3.1,"76,974,775"
1/27/1979,"423,000",123.6,"342,000","357,500","3,061,000",127.9,"2,393,000","2,382,500",4,3.1,"76,974,775"
2/3/1979,"424,000",121.7,"348,000","354,750","3,039,000",126.1,"2,411,000","2,393,750",3.9,3.1,"76,974,775"
2/10/1979,"418,000",116.7,"359,000","346,500","3,018,000",125.1,"2,412,000","2,404,750",3.9,3.1,"76,974,775"
2/17/1979,"384,000",104.7,"367,000","354,000","3,013,000",126.4,"2,383,000","2,399,750",3.9,3.1,"76,974,775"
2/24/1979,"364,000",101.2,"360,000","358,500","3,146,000",128.3,"2,451,000","2,414,250",4.1,3.2,"76,974,775"
3/3/1979,"358,000",101,"355,000","360,250","3,033,000",123.7,"2,451,000","2,424,250",3.9,3.2,"76,974,775"
3/10/1979,"346,000",95.4,"363,000","361,250","2,900,000",120.2,"2,413,000","2,424,500",3.8,3.1,"76,974,775"
3/17/1979,"315,000",87.9,"359,000","359,250","2,771,000",116.6,"2,377,000","2,423,000",3.6,3.1,"76,974,775"
3/24/1979,"296,000",83.9,"353,000","357,500","2,660,000",113.1,"2,353,000","2,398,500",3.5,3.1,"76,974,775"
3/31/1979,"300,000",83.2,"360,000","358,750","2,556,000",109.4,"2,335,000","2,369,500",3.3,3,"76,974,775"
4/7/1979,"449,000",96.7,"465,000","384,250","2,504,000",105.8,"2,368,000","2,358,250",3.1,3,"80,004,774"
4/14/1979,"424,000",92.7,"457,000","408,750","2,542,000",103,"2,467,000","2,380,750",3.2,3.1,"80,004,774"
4/21/1979,"340,000",88.9,"383,000","416,250","2,446,000",101.6,"2,408,000","2,394,500",3.1,3,"80,004,774"
4/28/1979,"303,000",85,"357,000","415,500","2,317,000",98.5,"2,351,000","2,398,500",2.9,2.9,"80,004,774"
5/5/1979,"307,000",87.2,"353,000","387,500","2,195,000",95.8,"2,292,000","2,379,500",2.7,2.9,"80,004,774"
5/12/1979,"290,000",84.5,"344,000","359,250","2,127,000",94.1,"2,261,000","2,328,000",2.7,2.8,"80,004,774"
5/19/1979,"280,000",81,"346,000","350,000","2,067,000",92.3,"2,238,000","2,285,500",2.6,2.8,"80,004,774"
5/26/1979,"287,000",82.3,"349,000","348,000","1,970,000",87.7,"2,246,000","2,259,250",2.5,2.8,"80,004,774"
6/2/1979,"262,000",78.1,"336,000","343,750","2,052,000",90.8,"2,260,000","2,251,250",2.6,2.8,"80,004,774"
6/9/1979,"322,000",88.4,"365,000","349,000","1,987,000",90,"2,207,000","2,237,750",2.5,2.8,"80,004,774"
6/16/1979,"312,000",89.1,"351,000","350,250","1,997,000",89.4,"2,234,000","2,236,750",2.5,2.8,"80,004,774"
6/23/1979,"343,000",90.8,"379,000","357,750","2,010,000",88.4,"2,275,000","2,244,000",2.5,2.8,"80,004,774"
6/30/1979,"366,000",99.5,"369,000","366,000","1,958,000",85.8,"2,282,000","2,249,500",2.4,2.9,"80,004,774"
7/7/1979,"458,000",124.5,"368,000","366,750","2,277,000",96.2,"2,368,000","2,289,750",2.7,2.8,"83,262,422"
7/14/1979,"446,000",121.4,"368,000","371,000","2,333,000",99,"2,356,000","2,320,250",2.8,2.8,"83,262,422"
7/21/1979,"445,000",112.7,"395,000","375,000","2,278,000",97.6,"2,335,000","2,335,250",2.7,2.8,"83,262,422"
7/28/1979,"417,000",108,"386,000","379,250","2,298,000",96.8,"2,375,000","2,358,500",2.8,2.9,"83,262,422"
8/4/1979,"428,000",104.1,"412,000","390,250","2,338,000",96.5,"2,422,000","2,372,000",2.8,2.9,"83,262,422"
8/11/1979,"360,000",93.3,"386,000","394,750","2,353,000",95.4,"2,466,000","2,399,500",2.8,3,"83,262,422"
8/18/1979,"329,000",85.2,"387,000","392,750","2,290,000",92.6,"2,474,000","2,434,250",2.8,3,"83,262,422"
8/25/1979,"313,000",80.4,"390,000","393,750","2,219,000",89.8,"2,471,000","2,458,250",2.7,3,"83,262,422"
9/1/1979,"312,000",80.4,"389,000","388,000","2,064,000",84.3,"2,448,000","2,464,750",2.5,2.9,"83,262,422"
9/8/1979,"285,000",75.4,"378,000","386,000","2,107,000",86.6,"2,432,000","2,456,250",2.5,2.9,"83,262,422"
9/15/1979,"311,000",81,"384,000","385,250","2,039,000",83.9,"2,431,000","2,445,500",2.4,2.9,"83,262,422"
9/22/1979,"309,000",79.7,"388,000","384,750","1,987,000",82.6,"2,404,000","2,428,750",2.4,2.9,"83,262,422"
9/29/1979,"303,000",77.8,"390,000","385,000","1,964,000",81,"2,426,000","2,423,250",2.4,2.9,"83,262,422"
10/6/1979,"379,000",92.2,"412,000","393,500","1,924,000",79.3,"2,428,000","2,422,250",2.3,2.9,"84,482,518"
10/13/1979,"335,000",85.4,"393,000","395,750","2,074,000",81.8,"2,535,000","2,448,250",2.5,3,"84,482,518"
10/20/1979,"342,000",84.3,"406,000","400,250","2,059,000",83.2,"2,475,000","2,466,000",2.4,2.9,"84,482,518"
10/27/1979,"353,000",88.7,"398,000","402,250","2,120,000",84.1,"2,522,000","2,490,000",2.5,3,"84,482,518"
11/3/1979,"372,000",94.3,"395,000","398,000","2,145,000",83.5,"2,569,000","2,525,250",2.5,3,"84,482,518"
11/10/1979,"392,000",94.9,"414,000","403,250","2,189,000",86.3,"2,537,000","2,525,750",2.6,3,"84,482,518"
11/17/1979,"401,000",93.3,"430,000","409,250","2,201,000",82.9,"2,656,000","2,571,000",2.6,3.1,"84,482,518"
11/24/1979,"379,000",91.8,"414,000","413,250","2,627,000",99.2,"2,648,000","2,602,500",3.1,3.1,"84,482,518"
12/1/1979,"513,000",123.4,"416,000","418,500","2,615,000",96.9,"2,698,000","2,634,750",3.1,3.2,"84,482,518"
12/8/1979,"521,000",125.7,"415,000","418,750","2,707,000",100.8,"2,685,000","2,671,750",3.2,3.2,"84,482,518"
12/15/1979,"455,000",110.7,"411,000","414,000","2,756,000",101.6,"2,712,000","2,685,750",3.3,3.2,"84,482,518"
12/22/1979,"580,000",123.4,"471,000","428,250","2,680,000",100.2,"2,674,000","2,692,250",3.2,3.2,"84,482,518"
12/29/1979,"596,000",139.3,"428,000","431,250","3,161,000",116,"2,725,000","2,699,000",3.7,3.2,"84,482,518"
1/5/1980,"574,000",145.9,"394,000","426,000","3,619,000",131.7,"2,749,000","2,715,000",4.2,3.2,"85,385,877"
1/12/1980,"804,000",198.6,"405,000","424,500","3,498,000",125.9,"2,778,000","2,731,500",4.1,3.3,"85,385,877"
1/19/1980,"648,000",145.4,"446,000","418,250","3,546,000",127.4,"2,783,000","2,758,750",4.2,3.3,"85,385,877"
1/26/1980,"515,000",125.1,"412,000","414,250","3,498,000",124.2,"2,817,000","2,781,750",4.1,3.3,"85,385,877"
2/2/1980,"471,000",116.5,"404,000","416,750","3,543,000",123.7,"2,864,000","2,810,500",4.1,3.4,"85,385,877"
2/9/1980,"493,000",116.2,"425,000","421,750","3,492,000",121.8,"2,867,000","2,832,750",4.1,3.4,"85,385,877"
2/16/1980,"418,000",100.8,"415,000","414,000","3,492,000",121.4,"2,877,000","2,856,250",4.1,3.4,"85,385,877"
2/23/1980,"415,000",97,"428,000","418,000","3,596,000",125.5,"2,866,000","2,868,500",4.2,3.4,"85,385,877"
3/1/1980,"407,000",99.5,"409,000","419,250","3,486,000",122.4,"2,848,000","2,864,500",4.1,3.3,"85,385,877"
3/8/1980,"413,000",98.9,"418,000","417,500","3,475,000",120.5,"2,883,000","2,868,500",4.1,3.4,"85,385,877"
3/15/1980,"398,000",92.1,"432,000","421,750","3,413,000",118.2,"2,888,000","2,871,250",4,3.4,"85,385,877"
3/22/1980,"392,000",90.2,"435,000","423,500","3,337,000",114.2,"2,921,000","2,885,000",3.9,3.4,"85,385,877"
3/29/1980,"399,000",84.2,"475,000","440,000","3,223,000",112.4,"2,866,000","2,889,500",3.8,3.4,"85,385,877"
4/5/1980,"451,000",97.3,"464,000","451,500","3,245,000",107.9,"3,007,000","2,920,500",3.8,3.5,"86,043,597"
4/12/1980,"535,000",98.4,"544,000","479,500","3,320,000",107.6,"3,085,000","2,969,750",3.9,3.6,"86,043,597"
4/19/1980,"495,000",90.4,"548,000","507,750","3,292,000",103.3,"3,188,000","3,036,500",3.8,3.7,"86,043,597"
4/26/1980,"482,000",85.6,"563,000","529,750","3,272,000",101.4,"3,226,000","3,126,500",3.8,3.7,"86,043,597"
5/3/1980,"491,000",86,"572,000","556,750","3,241,000",97.2,"3,334,000","3,208,250",3.8,3.9,"86,043,597"
5/10/1980,"526,000",87.6,"601,000","571,000","3,300,000",96.6,"3,417,000","3,291,250",3.8,4,"86,043,597"
5/17/1980,"539,000",84,"642,000","594,500","3,347,000",94.4,"3,544,000","3,380,250",3.9,4.1,"86,043,597"
5/24/1980,"525,000",83.9,"627,000","610,500","3,277,000",88.6,"3,698,000","3,498,250",3.8,4.3,"86,043,597"
5/31/1980,"477,000",74.8,"637,000","626,750","3,489,000",93.5,"3,731,000","3,597,500",4.1,4.3,"86,043,597"
6/7/1980,"562,000",92.3,"610,000","629,000","3,459,000",91.5,"3,781,000","3,688,500",4,4.4,"86,043,597"
6/14/1980,"511,000",86.5,"592,000","616,500","3,448,000",91.3,"3,779,000","3,747,250",4,4.4,"86,043,597"
6/21/1980,"529,000",88.3,"599,000","609,500","3,489,000",90.4,"3,858,000","3,787,250",4.1,4.5,"86,043,597"
6/28/1980,"563,000",89.9,"627,000","607,000","3,384,000",86.5,"3,912,000","3,832,500",3.9,4.5,"86,043,597"
7/5/1980,"584,000",100.9,"579,000","599,250","3,663,000",95.8,"3,823,000","3,843,000",4.2,4.4,"86,635,358"
7/12/1980,"643,000",120.7,"533,000","584,500","3,803,000",99.1,"3,836,000","3,857,250",4.4,4.4,"86,635,358"
7/19/1980,"628,000",110.7,"567,000","576,500","3,729,000",96.3,"3,872,000","3,860,750",4.3,4.5,"86,635,358"
7/26/1980,"569,000",102,"558,000","559,250","3,635,000",94.4,"3,851,000","3,845,500",4.2,4.4,"86,635,358"
8/2/1980,"536,000",94.3,"569,000","556,750","3,608,000",95.2,"3,789,000","3,837,000",4.2,4.4,"86,635,358"
8/9/1980,"494,000",92.6,"533,000","556,750","3,601,000",93.2,"3,862,000","3,843,500",4.2,4.5,"86,635,358"
8/16/1980,"435,000",83.1,"525,000","546,250","3,488,000",91.5,"3,813,000","3,828,750",4,4.4,"86,635,358"
8/23/1980,"410,000",80.2,"512,000","534,750","3,366,000",89.7,"3,754,000","3,804,500",3.9,4.3,"86,635,358"
8/30/1980,"397,000",79.2,"502,000","518,000","3,136,000",82.4,"3,808,000","3,809,250",3.6,4.4,"86,635,358"
9/6/1980,"374,000",73.3,"511,000","512,500","3,242,000",87.7,"3,698,000","3,768,250",3.7,4.3,"86,635,358"
